,Unnamed: 0,user_id,about,num_revs
0,101,1189474,"
                                            England,                                                                                                                                ",2
1,102,1595059,"
                                            Hong Kong,                                                                                                                                ",2
2,103,3637809,"
                                            Australia,                                            Male,                                            31-40                                        ",1
3,104,3835945,"
                                            England,                                                                                                                                ",1
4,106,3461306,"
                                            Canada,                                                                                                                                ",3
5,108,3298399,"
                                            Wales,                                            Male,                                            41+                                        ",4
6,109,4689406,"
                                            Spain,                                                                                                                                ",1
7,110,2654918,"
                                            Australia,                                                                                                                                ",14
8,111,1892703,"
                                            Malta,                                            Male,                                            25-30                                        ",2
9,112,3986679,"
                                            USA,                                            Female,                                            25-30                                        ",1
10,113,2899312,"
                                            Brunei,                                                                                                                                ",1
11,114,4451133,"
                                            Spain,                                            Mixed Group,                                            31-40                                        ",2
12,115,4995137,"
                                            USA,                                                                                                                                ",1
13,116,2702720,"
                                            France,                                                                                                                                ",1
14,117,2355196,"
                                            USA,                                            Male,                                            25-30                                        ",4
15,118,4579770,"
                                            Netherlands,                                            Male,                                            41+                                        ",3
16,119,1721868,"
                                            Canada,                                                                                                                                ",1
17,120,1709669,"
                                            USA,                                                                                                                                ",1
18,121,2369857,"
                                            Italy,                                                                                                                                ",1
19,122,2857241,"
                                            Canada,                                                                                                                                ",1
20,123,3395644,"
                                            USA,                                                                                                                                ",1
21,124,2945376,"
                                            France,                                                                                                                                ",1
22,126,4831612,"
                                            Australia,                                            Female,                                            25-30                                        ",3
23,128,3784926,"
                                            Greece,                                            Male,                                            25-30                                        ",2
24,129,4572822,"
                                            USA,                                                                                                                                ",1
25,130,3311845,"
                                            USA,                                                                                                                                ",1
26,131,3213069,"
                                            England,                                                                                                                                ",2
27,132,3630431,"
                                            Ireland,                                                                                                                                ",12
28,133,1755206,"
                                            Malaysia,                                                                                                                                ",1
29,198,4669199,"
                                            USA,                                                                                                                                ",14
30,200,3122792,"
                                            Canada,                                                                                                                                ",1
31,202,4140026,"
                                            Canada,                                                                                                                                ",1
32,203,2800232,"
                                            Singapore,                                                                                                                                ",3
33,204,3594037,"
                                            Taiwan,                                                                                                                                ",1
34,205,4237383,"
                                            Argentina,                                                                                                                                ",2
35,206,2954026,"
                                            USA,                                                                                                                                ",1
36,207,3734285,"
                                            Peru,                                                                                                                                ",2
37,209,3328328,"
                                            USA,                                                                                                                                ",1
38,210,4754467,"
                                            Spain,                                                                                                                                ",1
39,212,4979423,"
                                            USA,                                                                                                                                ",1
40,213,1483865,"
                                            Australia,                                                                                                                                ",1
41,214,1881016,"
                                            Netherlands,                                                                                                                                ",1
42,215,3082884,"
                                            USA,                                                                                                                                ",1
43,216,2782011,"
                                            Mexico,                                            Couple,                                            25-30                                        ",7
44,217,2594181,"
                                            Canada,                                                                                                                                ",1
45,218,2024123,"
                                            USA,                                                                                                                                ",1
46,219,4863316,"
                                            Croatia,                                                                                                                                ",1
47,220,3876150,"
                                            Germany,                                                                                                                                ",2
