nationality,user_id
USA,2877
England,1536
Australia,1309
Germany,1041
Canada,831
France,754
Italy,584
Spain,565
Ireland,486
Brazil,472
Netherlands,352
Sweden,268
New Zealand,260
China,230
Argentina,207
Poland,202
Mexico,180
Scotland,178
Switzerland,166
Finland,160
South Korea,145
Hong Kong,144
Belgium,143
Austria,140
Denmark,136
Malaysia,131
India,115
Portugal,105
Japan,102
Russia,99
Singapore,97
Turkey,91
Taiwan,85
Hungary,78
Norway,78
Thailand,74
Czech Republic,68
Chile,66
South Africa,66
Slovenia,62
Wales,57
Colombia,54
Greece,53
Israel,49
Philippines,49
Indonesia,45
Slovakia,39
Romania,38
Croatia,37
Bulgaria,32
Northern Ireland,32
Serbia,30
Vietnam,25
Latvia,23
Lithuania,22
Estonia,21
Ukraine,21
Costa Rica,20
Venezuela,19
Malta,14
Peru,13
Uruguay,12
UK,12
Pakistan,10
British Virgin Islands,10
Puerto Rico,8
American Samoa,8
Bosnia And Herzegovina,8
Trinidad And Tobago,7
Morocco,7
Egypt,7
Ecuador,6
Guatemala,6
Luxembourg,6
Iceland,5
Azerbaijan,5
Paraguay,5
Panama,5
Belarus,5
Dominican Republic,5
Jamaica,4
Tunisia,4
El Salvador,3
Iran,3
Mauritius,3
Kazakhstan,3
Bangladesh,3
Jordan,3
Lebanon,2
Algeria,2
Armenia,2
Tanzania,2
French Polynesia,2
Palestine,2
Bahamas,2
Brunei,2
Nepal,2
Bolivia,2
British Indian Ocean Territory,2
Sri Lanka,2
US Virgin Islands,2
Congo,2
Macau,2
Kenya,2
San Marino,1
Uzbekistan,1
Saudi Arabia,1
Swaziland,1
Tuvalu,1
Yemen,1
United Arab Emirates,1
,1
Polish,1
Botswana,1
Fiji,1
Eritrea,1
Cyprus,1
Cayman Islands,1
Canadian,1
Bouvet Island,1
Bhutan,1
New Caledonia,1
Bermuda,1
Benin,1
Belize,1
Barbados,1
Antarctica,1
Albania,1
French Guiana,1
French Southern Territories,1
Gabon,1
Guam,1
Guyana,1
Haiti,1
Holy See (vatican City State),1
Honduras,1
Iraq,1
Afghanistan,1
Kyrgyzstan,1
Liechtenstein,1
Macedonia,1
Martinique,1
Mauritania,1
Micronesia,1
Montenegro,1
Zimbabwe,1
